date,dir,vel
1/8/2016 0:30:00,138.0,0.8
1/8/2016 1:30:00,140.0,0.4
1/8/2016 2:30:00,146.0,0.4
1/8/2016 3:30:00,235.0,0.1
1/8/2016 4:30:00,13.0,0.7
1/8/2016 5:30:00,13.0,1.8
1/8/2016 6:30:00,11.0,2.6
1/8/2016 7:30:00,7.0,2.2
1/8/2016 8:30:00,333.0,1.7
1/8/2016 9:30:00,2.0,2.399
1/8/2016 10:30:00,17.0,3.399
1/8/2016 11:30:00,7.0,2.899
1/8/2016 12:30:00,328.0,1.8
1/8/2016 13:30:00,303.0,1.7
1/8/2016 14:30:00,308.0,0.4
1/8/2016 15:30:00,272.0,0.9
1/8/2016 16:30:00,14.0,1.3
1/8/2016 17:30:00,22.0,1.7
1/8/2016 18:30:00,61.0,1.1
1/8/2016 19:30:00,76.0,0.6
1/8/2016 20:30:00,44.0,0.7
1/8/2016 21:30:00,66.0,0.4
1/8/2016 22:30:00,73.0,0.3
1/8/2016 23:30:00,66.0,0.5
2/8/2016 0:30:00,31.0,0.6
2/8/2016 1:30:00,36.0,0.3
2/8/2016 2:30:00,48.0,0.7
2/8/2016 3:30:00,55.0,0.8
2/8/2016 4:30:00,56.0,0.7
2/8/2016 5:30:00,46.0,0.8
2/8/2016 6:30:00,53.0,0.8
2/8/2016 7:30:00,72.0,0.9
2/8/2016 8:30:00,32.0,1.5
2/8/2016 9:30:00,1.0,1.0
2/8/2016 10:30:00,300.0,2.2
2/8/2016 11:30:00,263.0,2.899
2/8/2016 12:30:00,214.0,3.799
2/8/2016 13:30:00,216.0,5.2
2/8/2016 14:30:00,220.0,6.0
2/8/2016 15:30:00,221.0,5.2
2/8/2016 16:30:00,221.0,4.7
2/8/2016 17:30:00,215.0,4.0
2/8/2016 18:30:00,218.0,3.2
2/8/2016 19:30:00,215.0,1.899
2/8/2016 20:30:00,158.0,1.199
2/8/2016 21:30:00,174.0,1.199
2/8/2016 22:30:00,187.0,1.399
2/8/2016 23:30:00,198.0,1.5
3/8/2016 0:30:00,206.0,2.2
3/8/2016 1:30:00,206.0,1.5
3/8/2016 2:30:00,215.0,1.399
3/8/2016 3:30:00,184.0,0.5
3/8/2016 4:30:00,316.0,0.4
3/8/2016 5:30:00,283.0,0.7
3/8/2016 6:30:00,65.0,0.9
3/8/2016 7:30:00,51.0,0.9
3/8/2016 8:30:00,12.0,0.5
3/8/2016 9:30:00,,
3/8/2016 10:30:00,3.0,1.5
3/8/2016 11:30:00,37.0,0.9
3/8/2016 12:30:00,111.0,1.0
3/8/2016 13:30:00,131.0,1.3
3/8/2016 14:30:00,175.0,1.5
3/8/2016 15:30:00,191.0,1.3
3/8/2016 16:30:00,114.0,1.8
3/8/2016 17:30:00,108.0,1.5
3/8/2016 18:30:00,39.0,2.0
3/8/2016 19:30:00,40.0,1.5
3/8/2016 20:30:00,116.0,2.0
3/8/2016 21:30:00,114.0,2.2
3/8/2016 22:30:00,115.0,2.0
3/8/2016 23:30:00,121.0,1.399
4/8/2016 0:30:00,113.0,1.399
4/8/2016 1:30:00,122.0,1.1
4/8/2016 2:30:00,110.0,0.9
4/8/2016 3:30:00,131.0,0.6
4/8/2016 4:30:00,146.0,0.7
4/8/2016 5:30:00,129.0,0.5
4/8/2016 6:30:00,105.0,0.8
4/8/2016 7:30:00,112.0,0.4
4/8/2016 8:30:00,119.0,0.7
4/8/2016 9:30:00,52.0,0.9
4/8/2016 10:30:00,130.0,0.8
4/8/2016 11:30:00,121.0,2.0
4/8/2016 12:30:00,129.0,1.7
4/8/2016 13:30:00,142.0,1.6
4/8/2016 14:30:00,122.0,2.1
