,dir,vel
1/9/2016 0:30:00,62.0,2.0
1/9/2016 1:30:00,56.0,0.8
1/9/2016 2:30:00,80.0,0.6
1/9/2016 3:30:00,224.0,1.0
1/9/2016 4:30:00,259.0,1.3
1/9/2016 5:30:00,249.0,1.5
1/9/2016 6:30:00,312.0,0.6
1/9/2016 7:30:00,56.0,1.199
1/9/2016 8:30:00,4.0,0.9
1/9/2016 9:30:00,41.0,0.6
1/9/2016 10:30:00,203.0,0.4
1/9/2016 11:30:00,244.0,1.3
1/9/2016 12:30:00,209.0,2.399
1/9/2016 13:30:00,208.0,1.8
1/9/2016 14:30:00,173.0,1.1
1/9/2016 15:30:00,159.0,1.3
1/9/2016 16:30:00,156.0,2.0
1/9/2016 17:30:00,162.0,1.8
1/9/2016 18:30:00,176.0,1.3
1/9/2016 19:30:00,178.0,1.5
1/9/2016 20:30:00,173.0,1.199
1/9/2016 21:30:00,77.0,0.5
1/9/2016 22:30:00,30.0,1.0
1/9/2016 23:30:00,19.0,0.8
2/9/2016 0:30:00,16.0,1.0
2/9/2016 1:30:00,19.0,0.6
2/9/2016 2:30:00,25.0,0.7
2/9/2016 3:30:00,36.0,1.399
2/9/2016 4:30:00,355.0,0.9
2/9/2016 5:30:00,353.0,0.7
2/9/2016 6:30:00,10.0,1.0
2/9/2016 7:30:00,355.0,0.8
2/9/2016 8:30:00,295.0,1.1
2/9/2016 9:30:00,310.0,1.199
2/9/2016 10:30:00,273.0,1.199
2/9/2016 11:30:00,215.0,0.5
2/9/2016 12:30:00,328.0,0.3
2/9/2016 13:30:00,116.0,1.0
2/9/2016 14:30:00,96.0,1.3
2/9/2016 15:30:00,116.0,1.7
2/9/2016 16:30:00,112.0,1.899
2/9/2016 17:30:00,130.0,2.0
2/9/2016 18:30:00,130.0,1.7
2/9/2016 19:30:00,147.0,0.9
2/9/2016 20:30:00,138.0,0.9
2/9/2016 21:30:00,114.0,0.8
2/9/2016 22:30:00,133.0,0.2
2/9/2016 23:30:00,293.0,1.3
3/9/2016 0:30:00,298.0,1.199
3/9/2016 1:30:00,297.0,1.399
3/9/2016 2:30:00,288.0,1.5
3/9/2016 3:30:00,294.0,0.8
3/9/2016 4:30:00,21.0,1.199
3/9/2016 5:30:00,44.0,0.6
3/9/2016 6:30:00,41.0,0.4
3/9/2016 7:30:00,57.0,0.8
3/9/2016 8:30:00,36.0,1.3
3/9/2016 9:30:00,75.0,0.7
3/9/2016 10:30:00,144.0,0.9
3/9/2016 11:30:00,177.0,0.7
3/9/2016 12:30:00,118.0,0.4
3/9/2016 13:30:00,205.0,0.5
3/9/2016 14:30:00,48.0,0.8
3/9/2016 15:30:00,123.0,1.399
3/9/2016 16:30:00,121.0,1.3
3/9/2016 17:30:00,116.0,1.399
3/9/2016 18:30:00,149.0,1.0
3/9/2016 19:30:00,178.0,0.7
3/9/2016 20:30:00,154.0,0.5
3/9/2016 21:30:00,322.0,0.5
3/9/2016 22:30:00,333.0,0.5
3/9/2016 23:30:00,335.0,0.6
4/9/2016 0:30:00,107.0,0.3
4/9/2016 1:30:00,150.0,1.0
4/9/2016 2:30:00,189.0,0.8
4/9/2016 3:30:00,182.0,0.3
4/9/2016 4:30:00,163.0,0.5
4/9/2016 5:30:00,118.0,0.6
4/9/2016 6:30:00,110.0,0.3
4/9/2016 7:30:00,110.0,0.3
4/9/2016 8:30:00,166.0,0.5
4/9/2016 9:30:00,175.0,0.4
4/9/2016 10:30:00,65.0,0.6
4/9/2016 11:30:00,51.0,2.1
4/9/2016 12:30:00,40.0,1.899
4/9/2016 13:30:00,59.0,0.7
4/9/2016 14:30:00,47.0,0.9
4/9/2016 15:30:00,37.0,1.1
4/9/2016 16:30:00,33.0,0.4
4/9/2016 17:30:00,105.0,1.399
4/9/2016 18:30:00,260.0,1.1
4/9/2016 19:30:00,290.0,2.5
4/9/2016 20:30:00,282.0,2.299
4/9/2016 21:30:00,303.0,1.899
4/9/2016 22:30:00,301.0,1.399
4/9/2016 23:30:00,296.0,1.6
5/9/2016 0:30:00,315.0,1.3
5/9/2016 1:30:00,295.0,1.5
5/9/2016 2:30:00,295.0,1.0
5/9/2016 3:30:00,82.0,0.9
5/9/2016 4:30:00,94.0,0.6
5/9/2016 5:30:00,51.0,0.8
5/9/2016 6:30:00,55.0,0.4
5/9/2016 7:30:00,67.0,0.3
5/9/2016 8:30:00,59.0,0.5
5/9/2016 9:30:00,273.0,0.5
5/9/2016 10:30:00,261.0,0.8
5/9/2016 11:30:00,243.0,1.5
5/9/2016 12:30:00,196.0,2.299
5/9/2016 13:30:00,193.0,2.399
5/9/2016 14:30:00,211.0,3.6
5/9/2016 15:30:00,194.0,2.5
5/9/2016 16:30:00,174.0,2.1
5/9/2016 17:30:00,179.0,2.0
5/9/2016 18:30:00,156.0,2.0
5/9/2016 19:30:00,167.0,1.199
5/9/2016 20:30:00,147.0,1.0
5/9/2016 21:30:00,84.0,1.199
5/9/2016 22:30:00,121.0,1.199
5/9/2016 23:30:00,133.0,0.7
6/9/2016 0:30:00,148.0,0.7
6/9/2016 1:30:00,354.0,0.4
6/9/2016 2:30:00,298.0,0.8
6/9/2016 3:30:00,288.0,0.4
6/9/2016 4:30:00,289.0,0.5
6/9/2016 5:30:00,304.0,0.7
6/9/2016 6:30:00,47.0,0.7
6/9/2016 7:30:00,148.0,0.7
6/9/2016 8:30:00,185.0,1.199
6/9/2016 9:30:00,210.0,1.399
6/9/2016 10:30:00,196.0,1.8
6/9/2016 11:30:00,250.0,2.799
6/9/2016 12:30:00,274.0,3.399
6/9/2016 13:30:00,273.0,2.399
6/9/2016 14:30:00,335.0,0.8
6/9/2016 15:30:00,73.0,2.7
6/9/2016 16:30:00,97.0,1.7
6/9/2016 17:30:00,116.0,1.6
6/9/2016 18:30:00,146.0,1.5
6/9/2016 19:30:00,200.0,0.7
6/9/2016 20:30:00,150.0,0.8
6/9/2016 21:30:00,309.0,0.3
6/9/2016 22:30:00,287.0,2.1
6/9/2016 23:30:00,286.0,1.8
7/9/2016 0:30:00,279.0,0.8
7/9/2016 1:30:00,323.0,0.7
7/9/2016 2:30:00,33.0,0.8
7/9/2016 3:30:00,24.0,0.4
7/9/2016 4:30:00,31.0,1.1
7/9/2016 5:30:00,44.0,0.8
7/9/2016 6:30:00,32.0,0.5
7/9/2016 7:30:00,27.0,0.5
7/9/2016 8:30:00,23.0,0.7
7/9/2016 9:30:00,79.0,0.8
7/9/2016 10:30:00,211.0,0.5
7/9/2016 11:30:00,222.0,0.9
7/9/2016 12:30:00,204.0,1.0
7/9/2016 13:30:00,199.0,2.399
7/9/2016 14:30:00,166.0,2.299
7/9/2016 15:30:00,202.0,3.299
7/9/2016 16:30:00,188.0,2.7
7/9/2016 17:30:00,198.0,2.6
7/9/2016 18:30:00,175.0,2.0
7/9/2016 19:30:00,195.0,2.1
7/9/2016 20:30:00,172.0,1.899
7/9/2016 21:30:00,173.0,1.399
7/9/2016 22:30:00,181.0,1.199
7/9/2016 23:30:00,47.0,0.6
8/9/2016 0:30:00,225.0,0.7
8/9/2016 1:30:00,236.0,1.0
8/9/2016 2:30:00,301.0,1.0
8/9/2016 3:30:00,16.0,1.399
8/9/2016 4:30:00,23.0,1.399
8/9/2016 5:30:00,51.0,1.0
8/9/2016 6:30:00,50.0,0.9
8/9/2016 7:30:00,43.0,2.399
8/9/2016 8:30:00,60.0,1.199
8/9/2016 9:30:00,78.0,1.1
8/9/2016 10:30:00,90.0,1.5
8/9/2016 11:30:00,106.0,1.5
8/9/2016 12:30:00,86.0,1.6
8/9/2016 13:30:00,88.0,1.5
8/9/2016 14:30:00,147.0,0.7
8/9/2016 15:30:00,197.0,1.6
8/9/2016 16:30:00,198.0,1.8
8/9/2016 17:30:00,177.0,1.399
8/9/2016 18:30:00,161.0,1.399
8/9/2016 19:30:00,140.0,2.0
8/9/2016 20:30:00,130.0,1.5
8/9/2016 21:30:00,40.0,1.5
8/9/2016 22:30:00,37.0,1.399
8/9/2016 23:30:00,32.0,0.9
9/9/2016 0:30:00,48.0,1.199
9/9/2016 1:30:00,43.0,0.9
9/9/2016 2:30:00,28.0,1.199
9/9/2016 3:30:00,73.0,1.0
9/9/2016 4:30:00,62.0,1.1
9/9/2016 5:30:00,50.0,0.8
9/9/2016 6:30:00,55.0,0.4
9/9/2016 7:30:00,55.0,0.6
9/9/2016 8:30:00,25.0,0.9
9/9/2016 9:30:00,32.0,0.8
9/9/2016 10:30:00,66.0,1.1
9/9/2016 11:30:00,82.0,1.3
9/9/2016 12:30:00,94.0,1.199
9/9/2016 13:30:00,125.0,1.8
9/9/2016 14:30:00,138.0,2.6
9/9/2016 15:30:00,140.0,3.1
9/9/2016 16:30:00,137.0,3.299
9/9/2016 17:30:00,135.0,3.399
9/9/2016 18:30:00,128.0,2.2
9/9/2016 19:30:00,130.0,1.7
9/9/2016 20:30:00,120.0,1.399
9/9/2016 21:30:00,93.0,1.199
9/9/2016 22:30:00,60.0,1.3
9/9/2016 23:30:00,60.0,1.7
