0	u	v
2016090100	1.09607	0.112444
2016090200	-1.45095	-0.0388704
2016090300	-2.39828	0.373732
2016090400	-1.69323	0.129713
2016090500	-0.456017	-0.625232
2016090600	0.533956	0.575806
2016090700	-1.31743	0.0539789
2016090800	-0.78093	1.2433
2016090900	-0.652355	1.16265
2016091000	-0.477462	1.29178
2016091100	0.773254	1.24109
2016091200	-0.177264	-2.18995
2016091300	1.35957	1.27161
2016091400	-2.11856	0.609111
2016091500	-1.31821	0.937947
2016091600	0.721297	0.436653
2016091700	0.134824	-0.148752
2016091800	0.997924	0.38811
2016091900	0.915128	0.272964
2016092000	0.431942	0.914547
2016092100	-1.42209	0.704972
2016092200	-0.397024	1.61612
2016092300	0.212145	1.00658
2016092400	-0.0148266	0.794758
2016092500	-0.921203	1.00791
2016092600	-1.6462	0.414647
2016092700	-1.29912	1.11101
2016092800	-0.381324	0.816899
2016092900	-1.93279	0.930394
2016093000	-1.81316	0.85001
